,Ship Mode,Segment,Market,Category,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
0,First Class,Consumer,APAC,Technology,5175.171,9,0.1,919.971,915.49,Medium
1,Standard Class,Consumer,APAC,Furniture,5244.84,6,0.0,996.48,878.38,High
2,Standard Class,Corporate,US,Office Supplies,5083.96,5,0.2,1906.485,867.69,Low
3,First Class,Corporate,APAC,Furniture,4626.15,5,0.0,647.55,835.57,High
4,Same Day,Home Office,LATAM,Furniture,2221.8,7,0.0,622.02,810.25,Critical
5,Second Class,Consumer,APAC,Office Supplies,3701.52,12,0.0,1036.08,804.54,Critical
6,Second Class,Corporate,US,Technology,2249.91,9,0.0,517.4793,780.7,Critical
7,Second Class,Consumer,Africa,Office Supplies,3409.74,6,0.0,818.28,763.38,High
8,First Class,Consumer,US,Technology,2735.952,6,0.2,341.994,752.51,High
9,First Class,Corporate,APAC,Furniture,2754.0,6,0.0,358.02,752.47,Critical
10,Second Class,Home Office,EU,Office Supplies,5273.7,10,0.0,1898.4,730.91,High
11,First Class,Consumer,LATAM,Furniture,2106.496,8,0.2,526.496,728.39,Critical
12,First Class,Home Office,US,Technology,4158.912,8,0.2,363.9048,714.66,High
13,Same Day,Consumer,APAC,Furniture,1878.72,4,0.0,582.36,704.08,Critical
14,Second Class,Consumer,US,Furniture,3610.848,12,0.2,135.4068,683.12,High
15,First Class,Corporate,Africa,Technology,3817.26,6,0.0,1068.66,678.15,High
16,Standard Class,Consumer,EU,Technology,4141.02,13,0.0,1697.67,668.96,High
17,First Class,Consumer,APAC,Technology,2875.095,5,0.1,511.095,665.27,Medium
18,Standard Class,Home Office,APAC,Technology,4518.78,7,0.0,632.52,658.69,High
19,Second Class,Corporate,APAC,Furniture,5667.87,13,0.0,2097.03,658.35,Medium
20,First Class,Consumer,EU,Office Supplies,3018.624,7,0.2,377.244,655.91,Critical
21,Same Day,Corporate,EU,Furniture,2092.5,5,0.1,720.75,652.98,Critical
22,First Class,Consumer,APAC,Furniture,2761.2,6,0.0,110.34,644.75,High
23,Same Day,Consumer,APAC,Technology,2174.13,7,0.0,500.01,637.86,Critical
24,Second Class,Consumer,LATAM,Furniture,3473.14,11,0.0,868.12,634.53,High
25,First Class,Consumer,US,Office Supplies,3050.376,3,0.2,1143.891,632.05,High
26,First Class,Consumer,EMEA,Technology,2108.64,8,0.0,527.04,630.97,Critical
27,Second Class,Corporate,APAC,Furniture,1745.34,2,0.0,226.86,616.27,Critical
28,First Class,Consumer,APAC,Office Supplies,4191.507,9,0.1,1164.267,614.34,High
29,Second Class,Consumer,US,Technology,4367.896,13,0.2,327.5922,609.44,Medium
30,Second Class,Consumer,APAC,Furniture,3063.27,7,0.0,581.91,609.24,High
31,Same Day,Corporate,US,Technology,4643.8,4,0.0,2229.024,607.34,Medium
32,Second Class,Corporate,EU,Technology,4473.0,7,0.0,313.11,604.4,Medium
33,First Class,Corporate,EU,Technology,1502.01,9,0.0,225.18,600.21,Critical
34,Standard Class,Consumer,APAC,Furniture,5049.0,11,0.0,656.37,595.5,High
35,Second Class,Corporate,US,Office Supplies,2104.55,7,0.0,694.5015,594.02,Critical
36,First Class,Corporate,APAC,Furniture,1920.36,4,0.0,652.92,592.77,Critical
37,Same Day,Home Office,LATAM,Technology,1704.0,4,0.0,119.28,592.73,Critical
38,First Class,Corporate,APAC,Furniture,3298.26,7,0.0,1055.25,589.36,High
